exercise_id	code	name	image_url	muscle_group	pattern	primary_tool	secondary_tool	location	complexity	level	fatigue	goals	category	compat	caution	forbidden	target_muscles	secondary_muscles
exr_41n2hdCBvmbCPaVE	PEC031	Diamond Press	https://cdn.exercisedb.dev/media/w/images/6SPVwjalAc.jpg	Pecho	Empuje Horizontal	Propio Peso	Ninguna	Casa, Aire Libre	Media	Intermedio	Media	PG, GMM	Complementario	ENF002, ENF003	PAT004, PAT005, MUN	Ninguna	PECTORALIS MAJOR STERNAL HEAD, PECTORALIS MAJOR CLAVICULAR HEAD, ERECTOR SPINAE	ANTERIOR DELTOID
exr_41n2hGUso7JFmuYR	PEC027	Decline Push-Up	https://cdn.exercisedb.dev/media/w/images/Fw2auG2NBK.jpg	Pecho	Empuje Declinado	Propio Peso	Banco	Casa, Aire Libre	Media	Intermedio	Media	PG, RD	Metabólico	ENF002, ENF003	PAT004, PAT003, MUN	ENF010	PECTORALIS MAJOR CLAVICULAR HEAD, PECTORALIS MAJOR STERNAL HEAD	ANTERIOR DELTOID, TRICEPS BRACHII
exr_41n2hHLE8aJXaxKR	PEC032	Cobra Push-up	https://cdn.exercisedb.dev/media/w/images/RMvhPtQeG7.jpg	Pecho	Empuje Horizontal	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Baja-Media	PG, SB	Correctivo	ENF001, ENF002, ENF003	PAT001, PAT004	Ninguna	PECTORALIS MAJOR STERNAL HEAD, GLUTEUS MAXIMUS, ERECTOR SPINAE	HAMSTRINGS, PECTORALIS MAJOR CLAVICULAR HEAD, TRICEPS BRACHII, ANTERIOR DELTOID
exr_41n2hkK8hGAcSnW7	PEC033	Chest Dip	https://cdn.exercisedb.dev/media/w/images/w39q9vcRo1.jpg	Pecho	Empuje Declinado	Propio Peso	Paralelas	Gimnasio, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	PECTORALIS MAJOR STERNAL HEAD	ANTERIOR DELTOID, LATISSIMUS DORSI, TRICEPS BRACHII, PECTORALIS MAJOR CLAVICULAR HEAD, LEVATOR SCAPULAE
exr_41n2hKZmyYXB2UL4	PEC034	Elbows Back Stretch	https://cdn.exercisedb.dev/media/w/images/ZBbn7b0eVR.jpg	Pecho	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	TRICEPS BRACHII	
exr_41n2hmvGdVRvvnNY	PEC035	Pike Push up	https://cdn.exercisedb.dev/media/w/images/NPtWT9FuRZ.jpg	Pecho	Empuje Inclinado	Propio Peso	Ninguna	Casa, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, MUN	Ninguna	PECTORALIS MAJOR CLAVICULAR HEAD, PECTORALIS MAJOR STERNAL HEAD	LATERAL DELTOID, SERRATUS ANTERIOR, ANTERIOR DELTOID, TRICEPS BRACHII
exr_41n2hNXJadYcfjnd	PEC025	Push-up	https://cdn.exercisedb.dev/media/w/images/cuG10rd4ea.jpg	Pecho	Empuje Horizontal	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Baja-Media	Básico	Media	PG, SB, GMM	Metabólico	ENF002, ENF003, ENF009	PAT004, MUN, PAT005	ENF010	PECTORALIS MAJOR STERNAL HEAD	TRICEPS BRACHII, ANTERIOR DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hQeNyCnt3uFh	PEC036	Back Pec Stretch	https://cdn.exercisedb.dev/media/w/images/11TGBvhnYQ.jpg	Pecho	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003	Ninguna	Ninguna	LATISSIMUS DORSI	
exr_41n2hs6camM22yBG	HOM007	Seated Shoulder Press	https://cdn.exercisedb.dev/media/w/images/bQUAOjC7qA.jpg	Hombro	Empuje Vertical	Mancuernas	Banco	Gimnasio, Casa	Media	Intermedio	Media-Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT001	PAT002	ANTERIOR DELTOID	PECTORALIS MAJOR CLAVICULAR HEAD, TRICEPS BRACHII, SERRATUS ANTERIOR, LATERAL DELTOID
exr_41n2hsVHu7B1MTdr	PEC037	Palms In Incline Bench Press	https://cdn.exercisedb.dev/media/w/images/DhC4s2apCJ.jpg	Pecho	Empuje Inclinado	Mancuernas	Banco	Gimnasio	Media	Intermedio	Media-Alta	GMM	Complementario	ENF002, ENF003	PAT004, PAT005	Ninguna	TRICEPS BRACHII	BRACHIORADIALIS, ADDUCTOR BREVIS, ANTERIOR DELTOID, BRACHIALIS, PECTORALIS MAJOR CLAVICULAR HEAD, BICEPS BRACHII, ADDUCTOR MAGNUS
